Standings,FINAL,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
66,Central Michigan,West Virginia,Texas State,Maryland,Rice,Texas State,Toledo,New Mexico,Texas,Kennesaw State,Central Michigan,Mississippi State,Louisiana Tech,Toledo,Central Michigan,Fresno State,Miami (OH)
67,Penn State,Nebraska,UConn,Louisiana Tech,Missouri State,Washington,East Carolina,Rice,Boise State,Kansas State,Fresno State,East Carolina,Missouri State,Rutgers,Kansas State,Northwestern,Central Michigan
68,Kansas State,Washington,West Virginia,Troy,Texas,North Carolina,Cincinnati,Utah State,Washington State,South Carolina,Wake Forest,Arizona,Kansas State,Fresno State,Kansas,Minnesota,UTSA
69,UTSA,Kansas,Nebraska,Utah State,SMU,Wisconsin,Coastal Carolina,Central Michigan,Rutgers,Toledo,Ohio,Coastal Carolina,Central Michigan,Northwestern,Ohio,Florida State,Louisiana Tech
70,Missouri State,Vanderbilt,Washington,Wyoming,Boise State,Kentucky,Old Dominion,Syracuse,Michigan State,Auburn,Miami (OH),Maryland,Ohio,Clemson,Troy,Baylor,Missouri State
71,Louisiana Tech,North Carolina,Vanderbilt,Florida International,Alabama,Wyoming,Troy,Rutgers,UCF,Colorado,Jacksonville State,Washington State,Miami (OH),Kansas State,UTSA,Miami (OH),Kansas State
72,Florida International,San JosŽ State,North Carolina,Oklahoma State,Arizona State,Temple,Tulsa,Michigan State,UL Monroe,Syracuse,Western Michigan,Toledo,Jacksonville State,Army,Mississippi State,Kansas,Washington State
73,Washington State,Arkansas,San JosŽ State,Temple,Louisiana,Purdue,Southern Miss,Delaware,Utah State,Marshall,Temple,UCF,Western Michigan,Louisiana Tech,Rutgers,Coastal Carolina,Texas State
74,Florida State,NC State,Arkansas,Tulsa,Iowa,Bowling Green,Missouri State,Notre Dame,Southern Miss,East Carolina,Kennesaw State,Missouri State,Arkansas State,Central Michigan,Western Michigan,Florida International,Florida International
75,Army,California,NC State,San Diego State,Duke,UCF,SMU,Virginia Tech,Ohio,App State,Colorado,Rutgers,Temple,Florida State,Kentucky,Kansas State,Florida State
76,Texas State,Cincinnati,California,New Mexico State,Florida,New Mexico,Boise State,Colorado,Western Michigan,Army,Buffalo,Marshall,Buffalo,West Virginia,Washington State,Utah State,Army
77,Northwestern,South Alabama,Cincinnati,Mississippi State,Michigan,Syracuse,Marshall,Kennesaw State,Central Michigan,Coastal Carolina,New Mexico,Fresno State,Auburn,Miami (OH),Army,Penn State,Northwestern
78,Baylor,Coastal Carolina,South Alabama,Purdue,Liberty,Washington State,Pittsburgh,SMU,New Mexico,UTSA,Utah State,Louisiana Tech,Army,Temple,Northwestern,Louisiana Tech,Baylor
79,Coastal Carolina,UTSA,Coastal Carolina,Delaware,James Madison,App State,Buffalo,Kansas State,Troy,Florida Atlantic,Florida State,Western Michigan,UTSA,Buffalo,Georgia Southern,Mississippi State,Coastal Carolina
80,Georgia Southern,Fresno State,UTSA,NC State,Boston College,Wake Forest,West Virginia,Pittsburgh,Northwestern,Missouri State,Clemson,Rice,Rutgers,Western Michigan,Marshall,Washington State,Kansas
81,Kansas,Virginia,Fresno State,Kentucky,Jacksonville State,Florida International,North Carolina,Troy,Temple,Delaware,Kansas State,Delaware,Toledo,Utah State,Miami (OH),Rutgers,Georgia Southern
82,Arkansas State,North Texas,Virginia,Hawai'i,Buffalo,New Mexico State,Arkansas,Tulsa,New Mexico State,Penn State,Auburn,Clemson,Marshall,Auburn,Louisiana Tech,Texas State,Arkansas State
83,Utah State,Utah,North Texas,Kansas State,East Carolina,Delaware,UTSA,Missouri State,Syracuse,Washington State,UCLA,Jacksonville State,UCF,Arkansas State,Florida International,Auburn,Utah State
84,Kentucky,Auburn,Utah,Washington State,Bowling Green,UAB,Wisconsin,Marshall,Delaware,Miami (OH),South Carolina,Florida State,Maryland,Rice,Temple,UCF,Mississippi State
85,Delaware,South Florida,Auburn,Northern Illinois,UConn,Clemson,Kentucky,Buffalo,Buffalo,Rutgers,Army,Buffalo,Washington State,UTSA,West Virginia,Kentucky,Delaware
86,Louisiana,Old Dominion,South Florida,Wake Forest,West Virginia,Army,Wyoming,North Carolina,Clemson,Texas State,Florida,Virginia Tech,West Virginia,UCF,Buffalo,Army,Louisiana
87,Rutgers,Western Michigan,Old Dominion,UAB,North Carolina,Boise State,Central Michigan,Arkansas,Virginia Tech,Michigan State,App State,Arkansas State,Rice,Kentucky,Auburn,Marshall,Rutgers
88,Auburn,UCLA,Western Michigan,Kent State,South Alabama,Louisiana,Temple,Coastal Carolina,Army,UCF,Florida International,Utah State,Liberty,Delaware,Arkansas State,Wisconsin,Auburn
89,Mississippi State,Wisconsin,UCLA,Notre Dame,Coastal Carolina,Colorado,Purdue,UTSA,App State,New Mexico,Missouri State,Wyoming,Delaware,Washington State,UCF,Akron,Kentucky
90,UCF,Arkansas State,Wisconsin,Texas,Virginia,Ohio,Jacksonville State,Wisconsin,Kennesaw State,UL Monroe,Syracuse,Army,Clemson,North Carolina,Rice,Georgia Southern,Marshall
91,Marshall,Oregon State,Arkansas State,Boise State,Old Dominion,Marshall,Bowling Green,Wyoming,Colorado,Utah State,Texas State,Florida,Utah State,Maryland,Utah State,Louisiana,UCF
92,Akron,Michigan State,Oregon State,Alabama,Arkansas State,Duke,New Mexico,Temple,Florida Atlantic,Central Michigan,UTSA,South Carolina,Wyoming,Florida International,Delaware,West Virginia,Akron
93,Buffalo,App State,Michigan State,Clemson,Air Force,Florida,Washington State,Purdue,Missouri State,Rice,Florida Atlantic,Syracuse,South Carolina,Florida Atlantic,Texas State,Arkansas State,Wisconsin
94,West Virginia,Air Force,App State,Louisiana,Louisiana Tech,Liberty,Georgia Southern,Louisiana,Tulsa,New Mexico State,Penn State,UCLA,Colorado,Georgia Southern,Penn State,Temple,Temple
95,Wisconsin,UCF,Air Force,Syracuse,Troy,James Madison,App State,Georgia Southern,Marshall,Ohio,Washington State,App State,Virginia Tech,Marshall,Maryland,South Carolina,West Virginia
96,Rice,Kentucky,UCF,Colorado,Northwestern,Boston College,Wake Forest,West Virginia,Florida,Jacksonville State,Rutgers,Penn State,Florida,Akron,Florida Atlantic,Buffalo,Rice
97,Temple,Hawai'i,Kentucky,Army,Utah State,UConn,Florida International,Western Michigan,Miami (OH),Buffalo,Michigan State,Texas State,North Carolina,Liberty,North Carolina,Rice,South Carolina
98,South Carolina,New Mexico,New Mexico,Baylor,Florida International,South Alabama,New Mexico State,Kentucky,North Carolina,Bowling Green,UL Monroe,UTSA,App State,Wyoming,Akron,Delaware,Florida
99,Florida,ULM,ULM,Ohio,Central Michigan,Coastal Carolina,Kennesaw State,Wake Forest,Arkansas,Wyoming,Rice,Florida International,Syracuse,South Carolina,Liberty,Maryland,Buffalo
100,Kent State,Arizona,Arizona,Marshall,Oklahoma State,UTSA,Notre Dame,Northwestern,Coastal Carolina,Temple,Georgia Southern,Colorado,Penn State,Florida,Wyoming,Tulsa,Kent State
101,Maryland,Houston,Houston,Miami (OH),Florida Atlantic,Arkansas State,UAB,New Mexico State,UTSA,Virginia Tech,Delaware,Florida Atlantic,Texas State,Virginia Tech,Virginia Tech,App State,Maryland
102,Tulsa,Maryland,Maryland,Georgia Southern,Tulsa,Air Force,Army,Jacksonville State,Wisconsin,UCLA,Liberty,Michigan State,UCLA,Wisconsin,South Carolina,Florida Atlantic,Florida Atlantic
103,App State,Wake Forest,Wake Forest,Sam Houston,San Diego State,Troy,Clemson,Bowling Green,Kentucky,Wisconsin,Arkansas State,UL Monroe,Kentucky,Louisiana,Louisiana,North Carolina,Tulsa
104,Florida Atlantic,Eastern Michigan,Eastern Michigan,Jacksonville State,UTEP,Northwestern,Louisiana,App State,Wyoming,Tulsa,New Mexico State,Akron,Florida Atlantic,Colorado,Colorado,South Alabama,App State
105,North Carolina,Charlotte,Charlotte,Buffalo,Southern Miss,Stanford,Florida,Florida International,Purdue,North Carolina,Wyoming,Georgia Southern,UL Monroe,App State,Kent State,Stanford,North Carolina
106,Michigan State,Louisiana Tech,Louisiana Tech,Virginia Tech,Delaware,Central Michigan,Liberty,Stanford,Kansas State,Kentucky,Virginia Tech,Liberty,Akron,Syracuse,Syracuse,Liberty,South Alabama
