Week,Team 1,Team 2,Result,Margin,Road?,Win,Qual Win,SOS,Conf,Total
3,Kentucky,Ole Miss,LOSS,7,Home,0,0,0,0,0
3,UL Monroe,Alabama,LOSS,73,Road,0,0,0,0,0
3,Kennesaw State,Indiana,LOSS,47,Road,0,0,0,0,0
3,Kent State,Texas Tech,LOSS,48,Road,0,0,0,0,0
3,Virginia,NC State,LOSS,4,Road,0,0,0,0,0
3,Central Michigan,Pittsburgh,LOSS,28,Road,0,0,0,0,0
3,Liberty,Jacksonville State,LOSS,10,Road,0,0,0,0,0
3,Kansas,Missouri,LOSS,11,Road,0,0,0,0,0
3,Oregon State,Fresno State,LOSS,9,Home,0,0,0,0,0
3,Bowling Green,Cincinnati,LOSS,14,Road,0,0,0,0,0
3,Delaware,Colorado,LOSS,24,Road,0,0,0,0,0
3,UTSA,Texas State,LOSS,7,Home,0,0,0,0,0
3,UAB,Navy,LOSS,14,Road,0,0,0,0,0
3,Western Michigan,North Texas,LOSS,3,Home,0,0,0,0,0
3,Middle Tennessee,Wisconsin,LOSS,32,Road,0,0,0,0,0
3,West Virginia,Ohio,LOSS,7,Road,0,0,0,0,0
3,Miami (OH),Rutgers,LOSS,28,Road,0,0,0,0,0
3,Arkansas State,Arkansas,LOSS,42,Road,0,0,0,0,0
3,Massachusetts,FCS,LOSS,1,Home,0,0,0,0,0
3,Marshall,Missouri State,LOSS,1,Home,0,0,0,0,0
3,Charlotte,North Carolina,LOSS,17,Home,0,0,0,0,0
3,Kansas State,Army,LOSS,3,Home,0,0,0,0,0
3,Rice,Houston,LOSS,26,Home,0,0,0,0,0
3,Western Kentucky,Toledo,LOSS,24,Road,0,0,0,0,0
3,Georgia State,Memphis,LOSS,22,Home,0,0,0,0,0
3,South Alabama,Tulane,LOSS,2,Home,0,0,0,0,0
3,Eastern Michigan,FCS,LOSS,5,Home,0,0,0,0,0
3,Ball State,Auburn,LOSS,39,Road,0,0,0,0,0
3,Virginia Tech,Vanderbilt,LOSS,24,Home,0,0,0,0,0
3,Akron,Nebraska,LOSS,68,Road,0,0,0,0,0
3,Georgia Southern,USC,LOSS,39,Road,0,0,0,0,0
3,Boston College,Michigan State,LOSS,2,Road,0,0,0,0,0
3,UCLA,UNLV,LOSS,7,Road,0,0,0,0,0
3,Tulsa,New Mexico State,LOSS,7,Road,0,0,0,0,0
3,San Diego State,Washington State,LOSS,23,Road,0,0,0,0,0
3,Stanford,BYU,LOSS,24,Road,0,0,0,0,0
3,Sam Houston,Hawai'i,LOSS,17,Road,0,0,0,0,0
4,Georgia,Tennessee,WIN,3,Road,4,2,3,1,10
4,Vanderbilt,South Carolina,WIN,24,Road,4,2,3,1,10
4,NC State,Wake Forest,WIN,10,Road,4,2,2,1,9
4,Alabama,Wisconsin,WIN,24,Home,4,2,2,1,9
4,North Texas,Washington State,WIN,49,Home,4,2,2,1,9
4,USC,Purdue,WIN,16,Road,4,2,2,1,9
4,California,Minnesota,WIN,13,Home,4,2,2,1,9
4,Houston,Colorado,WIN,16,Home,4,2,1,1,8
4,Oregon,Northwestern,WIN,20,Road,4,2,1,1,8
4,Oklahoma,Temple,WIN,39,Road,4,2,2,0,8
4,Ole Miss,Arkansas,WIN,6,Home,4,0,3,1,8
4,Utah,Wyoming,WIN,25,Road,4,2,2,0,8
4,Southern Miss,App State,WIN,16,Home,4,2,2,0,8
4,Louisiana Tech,New Mexico State,WIN,35,Home,4,2,2,0,8
4,Arizona State,Texas State,WIN,19,Home,4,2,2,0,8
4,New Mexico,UCLA,WIN,25,Road,4,2,0,1,7
4,Ohio State,Ohio,WIN,28,Home,4,2,1,0,7
4,Texas A&M,Notre Dame,WIN,1,Road,4,2,0,1,7
4,Iowa State,Arkansas State,WIN,8,Road,4,2,1,0,7
4,Texas Tech,Oregon State,WIN,31,Home,4,2,0,1,7
4,Michigan,Central Michigan,WIN,60,Home,4,2,1,0,7
4,Auburn,South Alabama,WIN,16,Home,4,2,1,0,7
4,Missouri,Louisiana,WIN,42,Home,4,2,1,0,7
4,Memphis,Troy,WIN,21,Road,4,2,1,0,7
4,SMU,Missouri State,WIN,18,Road,4,2,1,0,7
4,West Virginia,Pittsburgh,WIN,7,Home,4,0,3,0,7
4,Old Dominion,Virginia Tech,WIN,19,Road,4,2,0,1,7
4,East Carolina,Coastal Carolina,WIN,38,Road,4,2,1,0,7
4,Utah State,Air Force,WIN,19,Home,4,2,1,0,7
4,Indiana,FCS,WIN,73,Home,4,2,0,0,6
4,Syracuse,FCS,WIN,42,Home,4,2,0,0,6
4,Penn State,FCS,WIN,46,Home,4,2,0,0,6
4,LSU,Florida,WIN,10,Home,4,0,1,1,6
4,Miami,FCS,WIN,37,Home,4,2,0,0,6
4,Texas,UTEP,WIN,17,Home,4,2,0,0,6
4,Illinois,Western Michigan,WIN,38,Home,4,2,0,0,6
4,Georgia Tech,Clemson,WIN,3,Home,4,0,1,1,6
4,Nebraska,FCS,WIN,52,Home,4,2,0,0,6
4,Maryland,FCS,WIN,27,Home,4,2,0,0,6
4,Virginia,FCS,WIN,39,Home,4,2,0,0,6
4,Baylor,FCS,WIN,35,Home,4,2,0,0,6
4,Buffalo,Kent State,WIN,3,Road,4,2,0,0,6
4,Rutgers,FCS,WIN,50,Home,4,2,0,0,6
4,Michigan State,FCS,WIN,17,Home,4,2,0,0,6
4,North Carolina,FCS,WIN,35,Home,4,2,0,0,6
4,Cincinnati,FCS,WIN,70,Home,4,2,0,0,6
4,UTSA,FCS,WIN,28,Home,4,2,0,0,6
4,Toledo,FCS,WIN,60,Home,4,2,0,0,6
4,Middle Tennessee,Nevada,WIN,1,Road,4,2,0,0,6
4,Mississippi State,FCS,WIN,63,Home,4,2,0,0,6
4,Kennesaw State,FCS,WIN,14,Home,4,2,0,0,6
4,Marshall,FCS,WIN,31,Home,4,2,0,0,6
4,Georgia State,FCS,WIN,16,Home,4,2,0,0,6
4,Rice,FCS,WIN,21,Home,4,2,0,0,6
4,Kentucky,Eastern Michigan,WIN,25,Home,4,2,0,0,6
4,Iowa,Massachusetts,WIN,40,Home,4,2,0,0,6
4,Tulane,Duke,WIN,7,Home,4,0,1,1,6
4,TCU,FCS,WIN,21,Home,4,2,0,0,6
4,Navy,Tulsa,WIN,19,Road,4,2,0,0,6
4,Fresno State,FCS,WIN,49,Home,4,2,0,0,6
4,Stanford,Boston College,WIN,10,Home,4,0,1,1,6
4,Hawai'i,FCS,WIN,20,Home,4,2,0,0,6
4,Arizona,Kansas State,WIN,6,Home,4,0,0,1,5
4,Bowling Green,Liberty,WIN,10,Home,4,0,1,0,5
4,Georgia Southern,Jacksonville State,WIN,7,Home,4,0,1,0,5
4,Ball State,FCS,WIN,5,Home,4,0,0,0,4
4,Delaware,FCS,WIN,3,Home,4,0,0,0,4
4,Charlotte,FCS,WIN,7,Home,4,0,0,0,4
4,Florida International,Florida Atlantic,WIN,10,Home,4,0,0,0,4
4,UAB,Akron,WIN,3,Home,4,0,0,0,4
4,Wake Forest,NC State,LOSS,10,Home,0,0,0,0,0
4,Colorado,Houston,LOSS,16,Road,0,0,0,0,0
4,Kansas State,Arizona,LOSS,6,Road,0,0,0,0,0
4,UCLA,New Mexico,LOSS,25,Home,0,0,0,0,0
4,Ohio,Ohio State,LOSS,28,Road,0,0,0,0,0
4,Florida,LSU,LOSS,10,Road,0,0,0,0,0
4,Northwestern,Oregon,LOSS,20,Home,0,0,0,0,0
4,Tennessee,Georgia,LOSS,3,Home,0,0,0,0,0
